Académie;Département;Ville;Commune;Etablissement;Code Etablissement;Secteur Public=1 Privé=2;Effectifs présents Spécialités pluri-technologiques ;Effectifs présents Transformations;Effectifs présents Génie civil, construction et bois;Effectifs présents Matériaux souples;Effectifs présents Mécanique, électricité, électronique;Effectif Présents Production;Effectifs présents Spécialités plurivalentes des services;Effectifs présents Echanges et gestion;Effectifs présents Communication et information;Effectifs présents Services aux personnes;Effectifs présents Services à la collectivité;Effectif Présents Services;Effectif Présents Total secteurs;Taux brut de Réussite Spécialités pluri-technologiques ;Taux brut de Réussite Transformations;Taux brut de Réussite Génie civil, construction et bois;Taux brut de Réussite Matériaux souples;Taux brut de Réussite Mécanique, électricité, électronique;Taux Brut de Réussite Production;Taux brut de Réussite Spécialités plurivalentes des services;Taux brut de Réussite Echanges et gestion;Taux brut de Réussite Communication et information;Taux brut de Réussite Services aux personnes;Taux brut de Réussite Services à la collectivité;Taux Brut de Réussite Services;Taux Brut de Réussite Total secteurs;Taux de Réussite Attendu Spécialités pluri-technologiques ;Taux de Réussite Attendu Transformations;Taux de Réussite Attendu Génie civil, construction et bois;Taux de Réussite Attendu Matériaux souples;Taux de Réussite Attendu Mécanique, électricité, électronique;Taux Réussite Attendu Production;Taux de Réussite Attendu Spécialités plurivalentes des services;Taux de Réussite Attendu Echanges et gestion;Taux de Réussite Attendu Communication et information;Taux de Réussite Attendu Services aux personnes;Taux de Réussite Attendu Services à la collectivité;Taux Réussite Attendu Services;Taux Réussite Attendu Tous secteurs;Effectif de seconde;Effectif de première ;Effectif de terminale ;Taux accès Brut seconde-BAC;Taux accès Attendu seconde-BAC;Taux accès Brut première-BAC;Taux accès Attendu première-BAC;Taux accès Brut terminale-BAC;Taux accès Attendu terminale-BAC;;;;;;;;;;;;;;;;;;;;;;;;;;;;
AIX-MARSEILLE;ALPES DE HTE PROVENCE;DIGNE LES BAINS;04070;LYCEE PROFESSIONNEL ALPHONSE BEAU DE ROCHAS;0040007L;PU; ;15;16; ;15;46;33; ; ;43; ;76;122;.;87;94;.;67;83;73;.;.;77;.;75;78; ;82;80; ;80;81;77; ; ;92; ;86;84;133;132;130;58;65;67;77;79;85;;;;;;;;;;;;;;;;;;;;;;;;;;;;
AIX-MARSEILLE;ALPES DE HTE PROVENCE;MANOSQUE;04112;LYCEE LES ISCLES (PROFESSIONNEL);0040533H;PU; ; ; ; ;30;30; ; ; ; ; ; ;30;.;.;.;.;87;87;.;.;.;.;.;.;87; ; ; ; ;88;88; ; ; ; ; ;ND;88;30;30;30;76;69;90;83;90;90;;;;;;;;;;;;;;;;;;;;;;;;;;;;
AIX-MARSEILLE;ALPES DE HTE PROVENCE;MANOSQUE;04112;LYCEE PROFESSIONNEL LOUIS MARTIN BRET;0040011R;PU; ;9; ; ;52;61;25;71; ;9; ;105;166;.;78;.;.;75;75;88;86;.;78;.;86;82; ;90; ; ;78;80;78;85; ;92; ;84;82;197;193;169;62;62;72;75;84;84;;;;;;;;;;;;;;;;;;;;;;;;;;;;
AIX-MARSEILLE;ALPES DE HTE PROVENCE;SISTERON;04209;LYCEE PAUL ARENE (PROFESSIONNEL);0040023D;PU; ;9; ; ; ;9;16; ; ;9; ;25;34;.;100;.;.;.;100;81;.;.;100;.;88;91; ;94; ; ; ;ND;84; ; ;93; ;87;89;42;39;35;65;74;84;83;91;91;;;;;;;;;;;;;;;;;;;;;;;;;;;;
AIX-MARSEILLE;BOUCHES DU RHONE;AIX EN PROVENCE;13001;LYCEE PROFESSIONNEL CELONY;0131415T;PR; ; ; ; ; ; ;16;31;20;29; ;96;96;.;.;.;.;.;.;94;90;90;100;.;94;94; ; ; ; ; ;ND;86;87;86(1);93; ;88;88;106;103;104;76;70;88;82;91;89;;;;;;;;;;;;;;;;;;;;;;;;;;;;
AIX-MARSEILLE;BOUCHES DU RHONE;AIX EN PROVENCE;13001;LYCEE PROFESSIONNEL EMILE ZOLA;0132569X;PU; ; ; ; ; ; ;57; ; ;42; ;99;99;.;.;.;.;.;.;68;.;.;100;.;82;82; ; ; ; ; ;ND;78; ; ;91; ;84;84;108;105;105;71;67;78;80;86;88;;;;;;;;;;;;;;;;;;;;;;;;;;;;
AIX-MARSEILLE;BOUCHES DU RHONE;AIX EN PROVENCE;13001;LYCEE PROFESSIONNEL GAMBETTA (COURS);0130006L;PU; ; ; ; ; ; ;26;85; ; ; ;111;111;.;.;.;.;.;.;58;88;.;.;.;81;81; ; ; ; ; ;ND;82;88; ; ; ;86;86;108;115;107;52;65;74;79;87;88;;;;;;;;;;;;;;;;;;;;;;;;;;;;
AIX-MARSEILLE;BOUCHES DU RHONE;AIX EN PROVENCE;13001;LYCEE PROFESSIONNEL ST ELOI;0133280V;PR; ; ; ; ;85;85; ; ; ; ; ; ;85;.;.;.;.;84;84;.;.;.;.;.;.;84; ; ; ; ;86;86; ; ; ; ; ;ND;86;87;84;84;55;68;74;80;85;88;;;;;;;;;;;;;;;;;;;;;;;;;;;;
AIX-MARSEILLE;BOUCHES DU RHONE;AIX EN PROVENCE;13001;LYCEE PROFESSIONNEL STE MARIE;0131459R;PR; ; ; ; ; ; ;15;26; ; ; ;41;41;.;.;.;.;.;.;87;96;.;.;.;93;93; ; ; ; ; ;ND;84;86; ; ; ;86;86;68;61;56;54;63;83;77;93;87;;;;;;;;;;;;;;;;;;;;;;;;;;;;
AIX-MARSEILLE;BOUCHES DU RHONE;AIX EN PROVENCE;13001;LYCEE PROFESSIONNEL VAUVENARGUES;0130170P;PU; ; ;36; ;94;130; ; ; ; ; ; ;130;.;.;78;.;83;82;.;.;.;.;.;.;82; ; ;81; ;80;80; ; ; ; ; ;ND;80;144;139;130;58;62;72;75;83;83;;;;;;;;;;;;;;;;;;;;;;;;;;;;
