Individus,QUALITE_EXPRESSO,DEGUSTATION,QUALITE_MOUSSE,NOTICE_EMPLOI,PREPARATION_EXPRESSOS,NETTOYAGE_DETART,PERSONNALISATION_EXPRESSO,BRUIT,CONSO_ELECTR,
MAGIMIX Pixe Clips (M110),18.5,18.5,18.5,14.75,18.5,18.5,14.75,11.25,18.5,
KRUPS Inissia,18.5,18.5,18.5,3.25,18.5,18.5,14.75,18.5,18.5,
BOSCH Tassimo Suny,5,14.75,14.75,11.25,14.75,18.5,11.25,14.75,18.5,
SAECO Poemia (HD8425),14.75,14.75,14.75,11.25,14.75,11.25,11.25,14.75,18.5,
DE'LONGHI Dedica (ED680),11.25,11.25,11.25,18.5,18.5,14.75,18.5,18.5,18.5,
MALONGO EK'OH 2,11.25,11.25,11.25,11.25,18.5,11.25,14.75,11.25,18.5,
KRUPS Nescaf_ Dolce Gusto Oblo,14.75,14.75,14.75,11.25,11.25,14.75,11.25,11.25,8.25,
LAVAZZA Min� (LM 500),14.75,14.75,14.75,14.75,11.25,14.75,11.25,11.25,8.25,
PROLINE (Darty) EXP1500,8.25,8.25,11.25,11.25,14.75,14.75,11.25,14.75,8.25,
PHILIPS Senseo original (HD 7817),8.25,8.25,11.25,11.25,18.5,11.25,11.25,14.75,8.25,
DE'LONGHI Autentica,11.25,11.25,11.25,14.75,18.5,11.25,18.5,11.25,18.5,
SAECO Xsmall (HD8643),14.75,14.75,14.75,11.25,11.25,14.75,11.25,11.25,8.25,
KRUPS Expresso Full Auto Compacte,8.25,8.25,11.25,8.25,18.5,18.5,18.5,8.25,8.25,
BOSCH VeroCafe,8.25,8.25,8.25,14.75,14.75,11.25,14.75,14.75,18.5,
0,0,0,0,0,0,0,0,0,0,
1,10,10,10,10,10,10,10,10,10,
2,20,20,20,20,20,20,20,20,20,
