Individus,Taux_Brut_Reussite_Total_secteurs,Taux_Reussite_Attendu_Tous_secteurs,Taux_Acces_Brut_seconde_BAC,Taux_Acces_Brut_Premiere_Bac,Taux_Acces_Brut_Terminale_Bac,
BERGERAC LYCEE PROFESSIONNEL JEAN CAPELLE,79,88,63,72,81,
BERGERAC LYCEE PROFESSIONNEL STE MARTHE - ST FRONT,89,85,77,83,89,
BERGERAC LYCEE PROFESSIONNEL SUD P�RIGORD HELENE DUC,90,84,61,76,86,
BOULAZAC LYCEE PROFESSIONNEL CHAMBRE COM ET INDUSTRIE,97,88,64,78,94,
COULAURES LYCEE PROFESSIONNEL CHARDEUIL METIERS DU BATIMENT,87,77,53,82,92,
NONTRON LYCEE ALCIDE DUSOLIER (PROFESSIONNEL),83,83,72,77,83,
PERIGUEUX LYCEE ALBERT CLAVEILLE (PROFESSIONNEL),77,85,69,81,83,
PERIGUEUX LYCEE PROFESSIONNEL LEONARD DE VINCI,86,82,62,68,86,
PERIGUEUX LYCEE PROFESSIONNEL PABLO PICASSO,88,89,65,82,92,
PERIGUEUX LYCEE PROFESSIONNEL ST VINCENT DE PAUL,89,90,57,76,89,
RIBERAC LYCEE PROFESSIONNEL ARNAUT DANIEL,83,75,57,77,83,
SARLAT LA CANEDA LYCEE PROFESSIONNEL PRE DE CORDY,92,84,57,78,90,
SARLAT LA CANEDA LYCEE PROFESSIONNEL ST JOSEPH,100,92,71,75,100,
TERRASSON LYCEE ANTOINE DE ST EXUPERY (PROFESSIONNEL),88,80,79,82,88,
THIVIERS LYCEE PROFESSIONNEL PORTE D AQUITAINE,82,80,60,82,90,
ARCACHON LYCEE PROFESSIONNEL CONDORCET HOTELLERIE TOURISME,82,89,66,76,84,
BAZAS LYCEE PROFESSIONNEL ANATOLE DE MONZIE,84,86,69,78,85,
BEGLES LYCEE PROFESSIONNEL EMILE COMBES,84,83,67,78,86,
BEGLES LYCEE VACLAV HAVEL (PROFESSIONNEL),88,86,71,87,94,
BIGANOS LYCEE PROFESSIONNEL DE LA COTE D ARGENT,91,87,61,71,88,
BLANQUEFORT LYCEE PROFESSIONNEL LEONARD DE VINCI,86,83,66,79,87,
BLANQUEFORT LYCEE PROFESSIONNEL ST MICHEL,93,93,74,84,93,
BLAYE LYCEE PROFESSIONNEL DE L ESTUAIRE,81,84,62,74,85,
BORDEAUX LYCEE GUSTAVE EIFFEL (PROFESSIONNEL),85,83,61,73,85,
BORDEAUX LYCEE PROFESSIONNEL ALPHONSE BEAU DE ROCHAS,75,80,56,64,79,
BORDEAUX LYCEE PROFESSIONNEL BEL ORME,95,91,59,85,96,
BORDEAUX LYCEE PROFESSIONNEL D'ART TOULOUSE LAUTREC,78,85,71,78,85,
BORDEAUX LYCEE PROFESSIONNEL DES MENUTS,86,79,39,70,88,
